Taotluse reg.kpv,Elamisloa liik,Rändeliik,Kodakondsus,Sugu,Vanuserühm
2024-12-02 14:00:39.212880,Tähtajalise elamisloa pikendamine,Pereränne,Mehhiko,N, 85+
2015-06-16 05:33:48.759752,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Tai,N, 60-64
2025-06-01 23:56:54.905847,Tähtajalise elamisloa pikendamine,Pereränne,Vietnam,M, 20-24
2015-04-30 07:29:56.383737,Tähtajaline elamisluba,Legaalne sissetulek,Libeeria,N, 85+
2025-03-28 06:05:10.900126,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Kanada,N, 50-54
2015-01-18 03:09:07.748822,Tähtajalise elamisloa pikendamine,Õppimine,Malaisia,M, 70-74
2016-11-07 09:04:40.558658,Tähtajaline elamisluba,Õppimine,Kamerun,M, 75-79
2020-09-17 00:58:19.169345,Tähtajalise elamisloa pikendamine,Välisleping,Palestiina okupeeritud ala,N, 80-84
2019-08-11 00:19:10.298908,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Suurbritannia,M, 35-39
2017-08-27 20:30:18.249103,Tähtajalise elamisloa pikendamine,Ettevõtlus,Kanada,M, 35-39
2022-11-25 06:21:36.623103,Tähtajalise elamisloa pikendamine,Välisleping,Palestiina okupeeritud ala,M, 45-49
2018-07-01 03:19:22.294557,Tähtajaline elamisluba,Töötamine,Sri Lanka,N, 0-4
2016-03-04 04:54:40.363099,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Tšiili,M, 35-39
2025-06-01 23:10:29.958511,Tähtajaline elamisluba,Töötamine,Tai,M, 75-79
2020-06-17 13:14:29.122115,Tähtajaline elamisluba,Välisleping,Bangladesh,N, 40-44
2024-03-04 09:42:09.866781,Tähtajalise elamisloa pikendamine,Pereränne,Afganistan,N, 45-49
2021-11-30 09:04:56.790422,Tähtajaline elamisluba,Töötamine,Kõrgõzstan,N, 75-79
2020-11-12 01:30:31.674381,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venemaa,M, 20-24
2016-08-21 22:52:16.051342,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Süüria,M, 70-74
2023-07-26 20:25:19.999448,Tähtajalise elamisloa pikendamine,Pereränne,Nepal,N, 40-44
2024-08-10 04:01:32.767014,Tähtajaline elamisluba,Pereränne,Bangladesh,N, 80-84
2023-07-16 03:16:01.506426,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Muu,M, 70-74
2021-09-28 17:03:33.228271,Tähtajaline elamisluba,Legaalne sissetulek,Määratlemata kodakondsus,N, 35-39
2020-05-17 21:36:02.629529,Tähtajaline elamisluba,Legaalne sissetulek,Gruusia,M, 35-39
2015-08-12 18:55:51.010997,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Venemaa,N, 65-69
2015-01-11 04:34:55.391450,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Palestiina okupeeritud ala,M, 80-84
2016-10-22 05:13:03.070628,Tähtajalise elamisloa pikendamine,Töötamine,Filipiinid,M, 50-54
2025-01-24 07:15:23.553640,Tähtajaline elamisluba,Legaalne sissetulek,Usbekistan,M, 35-39
2022-06-09 08:04:38.590526,Tähtajaline elamisluba,Välisleping,Ameerika Ühendriigid,N, 25-29
2022-08-06 01:07:08.207542,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Singapur,M, 35-39
2019-01-22 12:44:25.018337,Tähtajalise elamisloa pikendamine,Töötamine,Muu,M, 50-54
2021-10-10 10:34:54.855964,Tähtajaline elamisluba,Välisleping,Nepal,N, 25-29
2021-05-01 01:18:18.562375,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Armeenia,N, 30-34
2025-04-08 15:43:28.970701,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Sierra Leone,N, 15-19
2021-04-20 16:00:10.660093,Tähtajaline elamisluba,Legaalne sissetulek,Libeeria,M, 15-19
2025-06-02 00:00:00.000000,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Palestiina okupeeritud ala,M, 40-44
2018-05-30 15:03:14.578397,Tähtajaline elamisluba,Pereränne,Aserbaidžaan,N, 40-44
2015-06-20 10:29:22.843850,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Süüria,N, 35-39
2020-07-27 10:21:04.200425,Tähtajaline elamisluba,Ettevõtlus,Venemaa,M, 75-79
2020-07-11 04:46:20.801207,Tähtajaline elamisluba,Töötamine,Nigeeria,M, 60-64
2023-10-01 07:26:58.363553,Tähtajalise elamisloa pikendamine,Õppimine,Kõrgõzstan,N, 25-29
2025-05-02 23:26:13.806830,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Korea Vabariik,N, 10-14
2024-05-30 11:53:36.765181,Tähtajaline elamisluba,Töötamine,Kasahstan,M, 55-59
2025-03-27 01:31:44.900973,Tähtajalise elamisloa pikendamine,Töötamine,Tadžikistan,M, 25-29
2024-10-25 10:57:08.411278,Tähtajaline elamisluba,Legaalne sissetulek,Kamerun,N, 15-19
2018-01-13 08:37:02.166379,Tähtajaline elamisluba,Legaalne sissetulek,Indoneesia,M, 15-19
2018-02-24 13:30:04.161843,Tähtajaline elamisluba,Legaalne sissetulek,Vietnam,N, 75-79
2022-11-30 22:49:37.694636,Tähtajaline elamisluba,Välisleping,Suurbritannia,M, 25-29
2017-03-08 00:34:47.760977,Tähtajalise elamisloa pikendamine,Pereränne,Venemaa,M, 5-9
2023-11-06 12:33:06.527270,Tähtajalise elamisloa pikendamine,Välisleping,Määratlemata kodakondsus,N, 65-69
2024-11-08 00:50:21.830945,Tähtajalise elamisloa pikendamine,Välisleping,Tai,M, 20-24
2021-01-31 15:54:46.590172,Tähtajalise elamisloa pikendamine,Õppimine,Malaisia,M, 70-74
2024-11-18 18:44:58.816737,Tähtajaline elamisluba,Legaalne sissetulek,Armeenia,M, 40-44
2023-11-06 09:46:15.538286,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Gruusia,N, 5-9
2020-03-20 13:09:49.335839,Tähtajaline elamisluba,Ettevõtlus,Sri Lanka,N, 15-19
2015-12-23 20:40:10.186541,Tähtajalise elamisloa pikendamine,Töötamine,Sierra Leone,N, 85+
2015-10-05 08:10:56.008454,Tähtajalise elamisloa pikendamine,Õppimine,Nepal,M, 50-54
2024-06-21 06:40:02.300087,Tähtajalise elamisloa pikendamine,Välisleping,Filipiinid,M, 15-19
2024-11-16 14:23:24.058264,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ukraina,M, 10-14
2023-10-21 22:51:46.284431,Tähtajaline elamisluba,Legaalne sissetulek,Sri Lanka,N, 65-69
2022-10-23 17:21:55.951595,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Hiina,N, 45-49
2025-05-11 16:27:11.356192,Tähtajaline elamisluba,Ettevõtlus,Libeeria,N, 70-74
2017-05-02 09:45:00.777144,Tähtajalise elamisloa pikendamine,Õppimine,Muu,N, 50-54
2024-11-28 19:26:03.885607,Tähtajaline elamisluba,Õppimine,Moldova,M, 60-64
2015-02-03 14:31:18.509555,Tähtajalise elamisloa pikendamine,Pereränne,Pakistan,N, 5-9
2020-12-11 15:05:11.842812,Tähtajalise elamisloa pikendamine,Välisleping,Tšiili,M, 15-19
2015-02-27 00:14:56.842253,Tähtajaline elamisluba,Ettevõtlus,Süüria,N, 50-54
2025-05-19 17:48:48.322403,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Hiina,M, 85+
2024-11-12 04:07:58.392917,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Moldova,N, 15-19
2021-10-09 08:36:18.486533,Tähtajaline elamisluba,Õppimine,Kõrgõzstan,M, 25-29
2023-07-02 08:37:57.167690,Tähtajalise elamisloa pikendamine,Pereränne,Austraalia,N, 55-59
2023-12-16 23:43:00.916128,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Kanada,M, 85+
2022-09-26 09:51:01.371502,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Kanada,M, 40-44
2023-09-23 01:20:11.449948,Tähtajaline elamisluba,Pereränne,Sri Lanka,M, 10-14
2025-05-22 07:37:28.157027,Tähtajalise elamisloa pikendamine,Töötamine,Tai,N, 20-24
2023-09-29 15:28:02.623865,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Austraalia,N, 60-64
2018-11-29 18:26:19.025266,Tähtajalise elamisloa pikendamine,Töötamine,Nigeeria,N, 15-19
2015-05-06 05:18:46.340508,Tähtajalise elamisloa pikendamine,Töötamine,Venemaa,N, 75-79
2025-01-06 22:59:12.016123,Tähtajalise elamisloa pikendamine,Õppimine,Afganistan,M, 55-59
2025-05-30 08:50:01.253867,Tähtajaline elamisluba,Ettevõtlus,Kanada,N, 35-39
2024-01-28 07:03:35.663882,Tähtajaline elamisluba,Õppimine,Lõuna-Aafrika Vabariik,M, 40-44
2025-05-20 11:50:40.366569,Tähtajaline elamisluba,Ettevõtlus,Filipiinid,N, 50-54
2016-08-09 23:49:00.868915,Tähtajaline elamisluba,Õppimine,Austraalia,M, 70-74
2020-07-11 23:54:28.405195,Tähtajaline elamisluba,Õppimine,Brasiilia,N, 85+
2022-01-07 06:00:28.482131,Tähtajalise elamisloa pikendamine,Töötamine,Türgi,M, 70-74
2017-06-23 23:05:44.772097,Tähtajalise elamisloa pikendamine,Õppimine,Lõuna-Aafrika Vabariik,N, 15-19
2025-05-16 03:40:34.841934,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Indoneesia,N, 75-79
2016-02-22 22:47:01.202570,Tähtajaline elamisluba,Õppimine,Nigeeria,N, 20-24
2024-03-23 11:22:57.757413,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Türgi,M, 20-24
2020-03-20 05:41:41.265951,Tähtajaline elamisluba,Töötamine,Filipiinid,N, 35-39
2024-10-07 15:52:24.560976,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Bangladesh,N, 50-54
2025-04-24 01:29:07.004711,Tähtajaline elamisluba,Välisleping,Brasiilia,N, 30-34
2024-12-25 03:15:47.449732,Tähtajalise elamisloa pikendamine,Töötamine,Albaania,M, 80-84
2015-01-09 00:00:00.000000,Tähtajaline elamisluba,Õppimine,Kõrgõzstan,N, 75-79
2016-01-01 00:44:37.327494,Tähtajalise elamisloa pikendamine,Töötamine,Gambia,N, 80-84
2025-04-03 01:01:28.176298,Tähtajalise elamisloa pikendamine,Pereränne,Indoneesia,N, 55-59
2015-02-18 06:23:40.875616,Tähtajalise elamisloa pikendamine,Välisleping,Bangladesh,M, 20-24
2015-05-12 06:26:56.830129,Tähtajalise elamisloa pikendamine,Töötamine,Pakistan,N, 5-9
2024-01-14 08:19:05.168526,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ameerika Ühendriigid,M, 35-39
2015-04-06 02:01:58.073018,Tähtajaline elamisluba,Töötamine,Brasiilia,M, 0-4
2023-06-08 14:23:59.269957,Tähtajaline elamisluba,Pereränne,Ameerika Ühendriigid,N, 50-54
2019-07-05 19:57:35.164688,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Gambia,N, 35-39
2025-03-28 00:10:09.734970,Tähtajalise elamisloa pikendamine,Õppimine,Valgevene,N, 75-79
2019-12-05 22:42:50.333772,Tähtajalise elamisloa pikendamine,Pereränne,Afganistan,N, 65-69
2015-01-18 07:49:34.852165,Tähtajaline elamisluba,Õppimine,Gruusia,N, 60-64
2023-03-30 08:29:57.916769,Tähtajaline elamisluba,Töötamine,Nepal,N, 25-29
2015-04-17 00:56:18.599767,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Colombia,M, 70-74
2021-02-24 15:18:28.711162,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Hiina,N, 65-69
2025-04-27 11:18:01.837120,Tähtajaline elamisluba,Välisleping,Kõrgõzstan,M, 45-49
2025-06-02 00:00:00.000000,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kamerun,N, 60-64
2021-03-10 05:36:28.078417,Tähtajalise elamisloa pikendamine,Õppimine,Austraalia,M, 30-34
2025-06-01 23:59:59.999998,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ukraina,M, 75-79
2015-01-23 15:54:55.946432,Tähtajalise elamisloa pikendamine,Õppimine,Tšiili,M, 35-39
2023-06-28 20:14:26.119428,Tähtajaline elamisluba,Töötamine,Nepal,N, 5-9
2025-01-07 23:11:13.779361,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ameerika Ühendriigid,N, 20-24
2019-05-31 06:38:38.193934,Tähtajaline elamisluba,Pereränne,Filipiinid,N, 40-44
2021-07-15 04:38:10.616899,Tähtajalise elamisloa pikendamine,Töötamine,Türgi,N, 70-74
2021-10-14 05:25:32.808119,Tähtajalise elamisloa pikendamine,Pereränne,Iisrael,N, 85+
2015-08-06 05:39:31.485113,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Ukraina,N, 25-29
2015-01-09 00:18:12.258320,Tähtajaline elamisluba,Pereränne,Määratlemata kodakondsus,M, 70-74
2024-05-11 06:01:30.450339,Tähtajalise elamisloa pikendamine,Töötamine,Palestiina okupeeritud ala,M, 65-69
2025-03-03 10:43:25.358055,Tähtajalise elamisloa pikendamine,Ettevõtlus,Iisrael,N, 15-19
2025-06-01 23:58:50.631860,Tähtajaline elamisluba,Töötamine,Ukraina,M, 85+
2015-04-16 07:42:25.703359,Tähtajalise elamisloa pikendamine,Välisleping,Usbekistan,N, 65-69
2015-01-09 00:00:00.000000,Tähtajaline elamisluba,Ettevõtlus,Pakistan,N, 25-29
2025-05-26 22:41:47.886145,Tähtajaline elamisluba,Pereränne,Mehhiko,N, 15-19
2019-07-21 09:09:57.160240,Tähtajaline elamisluba,Töötamine,Iraan,M, 40-44
2025-03-31 11:46:42.497228,Tähtajaline elamisluba,Legaalne sissetulek,Libeeria,N, 60-64
2024-07-04 00:27:37.015804,Tähtajaline elamisluba,Ettevõtlus,Maroko,M, 85+
2021-02-27 19:11:28.669896,Tähtajaline elamisluba,Legaalne sissetulek,Taiwan,M, 0-4
2015-05-28 08:59:43.784542,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Valgevene,M, 15-19
2015-01-16 00:04:06.892610,Tähtajalise elamisloa pikendamine,Töötamine,Sierra Leone,M, 40-44
2023-11-28 05:24:07.266106,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Sierra Leone,M, 15-19
2015-09-07 16:09:15.351150,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Süüria,M, 55-59
2019-10-12 04:10:56.250862,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Nepal,N, 85+
2015-05-24 11:19:03.979178,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Gambia,M, 15-19
2018-06-15 19:39:20.909312,Tähtajaline elamisluba,Õppimine,Aserbaidžaan,M, 60-64
2020-12-03 07:07:52.121265,Tähtajalise elamisloa pikendamine,Õppimine,Süüria,N, 75-79
2022-03-20 01:26:06.472928,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Muu,N, 30-34
2016-07-04 07:29:13.257593,Tähtajalise elamisloa pikendamine,Pereränne,Egiptus,N, 80-84
2022-11-11 15:46:34.198818,Tähtajalise elamisloa pikendamine,Välisleping,Ameerika Ühendriigid,M, 0-4
2024-05-23 03:35:36.838357,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Iraan,M, 50-54
2025-06-02 00:00:00.000000,Tähtajaline elamisluba,Välisleping,Pakistan,N, 30-34
2018-06-07 15:02:47.202128,Tähtajaline elamisluba,Õppimine,Määratlemata kodakondsus,N, 20-24
2018-06-02 03:27:22.844396,Tähtajalise elamisloa pikendamine,Välisleping,Määratlemata kodakondsus,M, 50-54
2025-05-22 08:42:18.809612,Tähtajaline elamisluba,Ettevõtlus,Austraalia,M, 75-79
2019-02-12 17:32:54.555232,Tähtajalise elamisloa pikendamine,Õppimine,Pakistan,M, 35-39
2015-07-08 07:45:15.202876,Tähtajalise elamisloa pikendamine,Töötamine,Brasiilia,M, 70-74
2021-06-12 12:51:42.153920,Tähtajaline elamisluba,Legaalne sissetulek,Iisrael,M, 0-4
2015-10-28 00:54:55.650342,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Nigeeria,M, 30-34
2025-02-18 20:22:22.788947,Tähtajaline elamisluba,Töötamine,Kanada,N, 70-74
2020-02-08 18:27:32.988152,Tähtajalise elamisloa pikendamine,Töötamine,Filipiinid,M, 75-79
2020-04-10 09:30:47.813874,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Ecuador,N, 35-39
2016-06-25 10:43:50.401722,Tähtajalise elamisloa pikendamine,Õppimine,Iraan,N, 30-34
2015-06-09 13:38:56.263481,Tähtajalise elamisloa pikendamine,Õppimine,Maroko,M, 15-19
2021-03-02 15:44:17.081422,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Austraalia,M, 50-54
2021-01-26 23:04:41.767540,Tähtajalise elamisloa pikendamine,Õppimine,Moldova,N, 55-59
2021-07-07 13:47:07.409550,Tähtajalise elamisloa pikendamine,Töötamine,Brasiilia,N, 0-4
2025-05-28 08:35:02.660219,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Libeeria,N, 0-4
2015-02-24 12:07:36.184740,Tähtajaline elamisluba,Töötamine,Taiwan,N, 15-19
2023-05-20 14:18:01.376360,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Lõuna-Aafrika Vabariik,N, 65-69
2015-05-01 08:10:01.429541,Tähtajalise elamisloa pikendamine,Töötamine,Nigeeria,M, 40-44
2022-05-24 11:24:08.320819,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Venemaa,N, 70-74
2016-04-12 22:18:15.936063,Tähtajalise elamisloa pikendamine,Pereränne,Muu,N, 70-74
2020-11-04 18:44:21.764431,Tähtajaline elamisluba,Pereränne,Aserbaidžaan,N, 55-59
2025-06-01 11:57:12.040283,Tähtajalise elamisloa pikendamine,Pereränne,Kõrgõzstan,N, 85+
2021-04-27 12:17:30.928597,Tähtajalise elamisloa pikendamine,Ettevõtlus,Colombia,M, 20-24
2022-11-09 09:39:05.554464,Tähtajalise elamisloa pikendamine,Pereränne,India,M, 80-84
2015-01-09 18:29:39.046647,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Austraalia,N, 25-29
2024-12-05 10:04:49.377664,Tähtajaline elamisluba,Töötamine,Albaania,N, 5-9
2022-02-15 17:55:47.480205,Tähtajaline elamisluba,Legaalne sissetulek,Albaania,M, 65-69
2025-04-20 10:58:45.889765,Tähtajalise elamisloa pikendamine,Pereränne,Brasiilia,N, 15-19
2016-07-13 08:20:31.132305,Tähtajalise elamisloa pikendamine,Välisleping,Tadžikistan,M, 20-24
2022-11-07 23:07:52.970882,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Kasahstan,M, 85+
2015-10-24 07:18:29.337213,Tähtajalise elamisloa pikendamine,Ettevõtlus,Ecuador,M, 70-74
2023-07-10 16:34:10.833038,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Lõuna-Aafrika Vabariik,N, 20-24
2015-01-09 00:00:00.000000,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Kasahstan,M, 20-24
2018-01-24 20:24:05.098608,Tähtajaline elamisluba,Õppimine,Libeeria,M, 20-24
2022-11-08 11:43:53.248118,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Venemaa,M, 65-69
2023-08-20 06:48:17.869185,Tähtajaline elamisluba,Legaalne sissetulek,Albaania,M, 30-34
2024-11-29 00:34:46.286685,Tähtajalise elamisloa pikendamine,Õppimine,Ecuador,N, 0-4
2020-09-10 11:12:43.590767,Tähtajalise elamisloa pikendamine,Ettevõtlus,Aserbaidžaan,N, 50-54
2019-08-31 06:30:27.146757,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Lõuna-Aafrika Vabariik,N, 15-19
2020-07-10 21:27:52.782343,Tähtajaline elamisluba,Pereränne,Austraalia,N, 65-69
2018-08-29 22:21:04.208279,Tähtajaline elamisluba,Ettevõtlus,Gruusia,N, 70-74
2023-10-23 02:59:56.459729,Tähtajalise elamisloa pikendamine,Õppimine,Nepal,N, 5-9
2018-06-27 06:51:54.695492,Tähtajalise elamisloa pikendamine,Õppimine,Sri Lanka,M, 75-79
2017-12-02 22:52:03.041008,Tähtajaline elamisluba,Töötamine,Argentina,M, 80-84
2024-05-23 22:58:08.449408,Tähtajalise elamisloa pikendamine,Ettevõtlus,Aserbaidžaan,N, 55-59
2015-05-02 08:32:36.932090,Tähtajalise elamisloa pikendamine,Õppimine,Albaania,M, 70-74
2021-12-01 00:08:37.408940,Tähtajaline elamisluba,Ettevõtlus,Ukraina,N, 60-64
2016-02-25 17:20:10.272300,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Hiina,M, 15-19
2015-02-16 07:38:27.529785,Tähtajalise elamisloa pikendamine,Ettevõtlus,Venezuela,M, 80-84
2015-10-28 21:02:50.422373,Tähtajaline elamisluba,Õppimine,Armeenia,N, 15-19
2019-08-19 01:31:50.748401,Tähtajaline elamisluba,Legaalne sissetulek,Tšiili,M, 55-59
2025-06-01 23:57:03.464335,Tähtajalise elamisloa pikendamine,Välisleping,Sierra Leone,M, 5-9
2025-06-01 23:47:59.294820,Tähtajaline elamisluba,Pereränne,Egiptus,N, 60-64
2017-05-16 01:53:47.132360,Tähtajalise elamisloa pikendamine,Töötamine,Usbekistan,M, 10-14
2023-02-01 02:38:29.240070,Tähtajaline elamisluba,Õppimine,Tšiili,M, 10-14
2016-02-18 09:57:59.343612,Tähtajaline elamisluba,Pereränne,Filipiinid,M, 0-4
2020-06-18 02:12:20.588457,Tähtajaline elamisluba,Välisleping,Hiina,N, 60-64
2020-02-17 00:07:34.588406,Tähtajaline elamisluba,Legaalne sissetulek,Aserbaidžaan,N, 55-59
2022-02-04 04:11:04.967954,Tähtajaline elamisluba,Legaalne sissetulek,Korea Vabariik,N, 80-84
2025-05-31 04:43:36.784560,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Suurbritannia,N, 60-64
2022-10-20 15:14:11.331332,Tähtajaline elamisluba,Õppimine,Iraan,N, 40-44
2025-01-07 06:45:16.718874,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Kanada,N, 0-4
2018-10-03 04:32:56.163207,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Afganistan,N, 80-84
2016-10-21 09:57:15.419717,Tähtajaline elamisluba,Ettevõtlus,Lõuna-Aafrika Vabariik,M, 20-24
2023-07-13 20:02:59.114496,Tähtajalise elamisloa pikendamine,Õppimine,Argentina,M, 20-24
2016-07-21 05:22:15.993173,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Albaania,M, 35-39
2020-07-17 17:59:43.416524,Tähtajaline elamisluba,Töötamine,Bangladesh,M, 75-79
2021-05-29 17:38:14.927056,Tähtajaline elamisluba,Pereränne,Gambia,M, 0-4
2016-10-20 18:29:22.703294,Tähtajalise elamisloa pikendamine,Õppimine,Brasiilia,N, 10-14
2023-06-04 22:57:51.352759,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Venezuela,N, 5-9
2023-03-11 12:47:45.830401,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Palestiina okupeeritud ala,N, 85+
2022-01-30 14:40:23.723927,Tähtajaline elamisluba,Töötamine,Moldova,M, 50-54
2019-05-30 02:28:36.167742,Tähtajalise elamisloa pikendamine,Välisleping,Senegal,N, 45-49
2015-08-03 03:48:40.190389,Tähtajaline elamisluba,Pereränne,Sri Lanka,M, 25-29
2015-03-12 01:10:09.172496,Tähtajaline elamisluba,Legaalne sissetulek,Nigeeria,M, 15-19
2025-04-15 13:16:35.632300,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Ukraina,M, 35-39
2016-12-01 21:35:05.329693,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Tai,M, 35-39
2020-08-16 03:24:46.988430,Tähtajaline elamisluba,Legaalne sissetulek,Gambia,N, 65-69
2022-03-03 04:31:57.510667,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Lõuna-Aafrika Vabariik,M, 0-4
2015-10-01 14:38:02.210866,Tähtajalise elamisloa pikendamine,Ettevõtlus,Egiptus,M, 20-24
2024-08-09 22:03:04.366376,Tähtajalise elamisloa pikendamine,Töötamine,Ukraina,M, 15-19
2025-05-06 06:45:28.280854,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Libeeria,M, 45-49
2015-01-09 00:00:00.000000,Tähtajalise elamisloa pikendamine,Töötamine,Korea Vabariik,M, 20-24
2017-04-02 19:36:47.855843,Tähtajalise elamisloa pikendamine,Välisleping,Venemaa,M, 50-54
2018-04-18 21:13:54.133490,Tähtajaline elamisluba,Pereränne,Korea Vabariik,M, 30-34
2025-05-15 08:48:09.101365,Tähtajalise elamisloa pikendamine,Välisleping,Egiptus,M, 75-79
2015-02-01 16:44:52.996409,Tähtajalise elamisloa pikendamine,Õppimine,Tšiili,M, 65-69
2025-05-17 13:01:30.896320,Tähtajaline elamisluba,Legaalne sissetulek,Gruusia,M, 85+
2015-07-14 11:02:18.363913,Tähtajaline elamisluba,Legaalne sissetulek,Mehhiko,M, 5-9
2015-09-08 14:10:27.794225,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Nigeeria,M, 80-84
2024-03-15 17:56:19.413808,Tähtajalise elamisloa pikendamine,Välisleping,Ecuador,N, 45-49
2018-02-11 23:32:34.269562,Tähtajalise elamisloa pikendamine,Õppimine,India,M, 10-14
2016-11-26 07:53:32.705848,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Sierra Leone,M, 60-64
2025-01-17 20:16:16.056446,Tähtajaline elamisluba,Töötamine,Aserbaidžaan,N, 40-44
2023-11-23 05:53:14.660861,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Tuneesia,N, 40-44
2018-12-21 19:30:32.351845,Tähtajalise elamisloa pikendamine,Pereränne,Gruusia,M, 50-54
2019-12-17 19:52:08.494253,Tähtajaline elamisluba,Legaalne sissetulek,Korea Vabariik,N, 30-34
2019-01-22 06:24:03.117277,Tähtajaline elamisluba,Töötamine,Türgi,M, 40-44
2021-01-06 03:41:22.459906,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Suurbritannia,M, 75-79
2022-02-18 05:21:32.621939,Tähtajaline elamisluba,Õppimine,Egiptus,M, 85+
2017-11-14 17:04:22.566533,Tähtajaline elamisluba,Välisleping,India,N, 55-59
2022-08-21 23:59:30.607958,Tähtajaline elamisluba,Õppimine,Nepal,N, 35-39
2020-01-13 18:35:54.344179,Tähtajaline elamisluba,Õppimine,Armeenia,M, 35-39
2022-07-30 13:44:28.576289,Tähtajaline elamisluba,Töötamine,Nepal,N, 15-19
2025-02-03 20:56:37.775098,Tähtajalise elamisloa pikendamine,Õppimine,Palestiina okupeeritud ala,N, 75-79
2020-07-15 18:05:47.285459,Tähtajaline elamisluba,Töötamine,Jaapan,M, 5-9
2016-12-10 04:57:19.980855,Tähtajaline elamisluba,Välisleping,Gambia,N, 70-74
2016-10-28 13:07:49.837721,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Ghana,M, 70-74
2022-10-25 22:32:49.433501,Tähtajalise elamisloa pikendamine,Välisleping,Gruusia,M, 0-4
2020-07-13 17:56:04.619111,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Gambia,N, 5-9
